Linux 6.8.0-87-generic (Matheusm-Vivobook) 	26/11/2025 	_x86_64_	(12 CPU)

16:30:20     active/s passive/s    iseg/s    oseg/s
16:30:21         0,00      0,00      0,00      0,00
16:30:22         0,00      0,00      0,00      0,00
16:30:23         4,00      3,00     42,00     43,00
16:30:24         2,00      0,00   2326,00   4526,00
16:30:25         0,00      0,00   3373,00   6766,00
16:30:26         0,00      0,00   3369,00   6764,00
16:30:27         0,00      0,00   3207,00   6428,00
16:30:28         0,00      0,00   3242,00   6506,00
16:30:29         0,00      0,00   3156,00   6236,00
16:30:30         0,00      0,00   3307,92   6656,44
16:30:31         0,00      0,00   2947,00   5935,00
16:30:32         0,00      0,00   3265,00   6520,00
16:30:33         0,00      0,00   3201,00   6470,00
16:30:34         0,00      0,00   3260,00   6469,00
16:30:35         0,00      0,00   3076,00   6194,00
16:30:36         0,00      0,00   3207,00   6476,00
16:30:37         0,00      0,00   3221,00   6509,00
16:30:38         0,00      0,00   3147,00   6241,00
16:30:39         0,00      0,00   3294,00   6717,00
16:30:40         0,00      0,00   3294,00   6521,00
16:30:41         0,00      0,00   3214,00   6477,00
16:30:42         0,00      0,00   3340,00   6786,00
16:30:43         0,00      0,00   3110,00   6195,00
16:30:44         0,00      0,00   3319,00   6740,00
16:30:45         0,00      0,00   2963,00   5948,00
16:30:46         0,00      0,00   3235,00   6486,00
16:30:47         0,00      0,00   3177,00   6465,00
16:30:48         0,00      0,00   3195,00   6481,00
16:30:49         0,00      0,00   3316,00   6546,00
16:30:50         0,00      0,00   3228,00   6446,00
16:30:51         0,00      0,00   3308,00   6754,00
16:30:52         0,00      0,00   3081,00   6195,00
16:30:53         0,00      0,00   3131,00   6226,00
16:30:54         0,00      0,00   3190,00   6498,00
16:30:55         0,00      0,00   3247,00   6504,00
16:30:56         0,00      0,00   3111,00   6172,00
16:30:57         0,00      0,00   3210,00   6513,00
16:30:58         1,00      1,00   3138,00   6203,00
16:30:59         0,00      0,00   3268,00   6462,00
16:31:00         0,00      0,00   2878,00   5640,00
16:31:01         0,00      0,00   3012,00   5955,00
16:31:02         0,00      0,00   3053,00   5932,00
16:31:03         0,00      0,00   3044,00   5878,00
16:31:04         0,00      0,00   2818,00   5581,00
16:31:05         0,00      0,00   3226,00   6312,00
16:31:06         0,00      0,00   3085,00   6201,00
16:31:07         0,00      0,00   2960,00   5874,00
16:31:08         0,00      0,00   3124,00   6254,00
16:31:09         0,00      0,00   3100,00   6226,00
16:31:10         0,00      0,00   3103,00   6125,00
16:31:11         0,00      0,00   2918,00   5692,00
16:31:12         0,00      0,00   3139,00   6149,00
16:31:13         0,00      0,00   2847,00   5637,00
16:31:14         0,00      0,00   2889,00   5637,00
16:31:15         0,00      0,00   2869,00   5638,00
16:31:16         0,00      0,00   2839,00   5637,00
16:31:17         0,00      0,00   2802,00   5639,00
16:31:18         0,00      0,00   2848,00   5637,00
16:31:19         0,00      0,00   3023,00   5949,00
16:31:20         0,00      0,00   2851,00   5692,00
16:31:21         0,00      0,00   2999,00   5886,00
16:31:22         0,00      0,00   3102,00   6159,00
16:31:23         0,00      0,00   2680,00   5375,00
16:31:24         0,00      0,00    780,00   1394,00
16:31:25         0,00      0,00      0,00      0,00
16:31:26         0,00      0,00      0,00      0,00
16:31:27         0,00      0,00      0,00      0,00
16:31:28         0,00      0,00      0,00      0,00

Average:         0,10      0,06   2745,74   5473,31
