Attaching 2 probes...
timestamp,event,sock,time_us,snd_cwnd,snd_ssthresh,sk_sndbuf,sk_wmem_queued
177547937368,rcv,0xffff8e9857f4e5c0,295784229,2,2,87040,1355
177548324334,rcv,0xffff8e9857f48000,682750158,2,2,87040,0
177548586323,rcv,0xffff8e9857f48000,944740431,2,2,87040,1110
177548712933,rcv,0xffff8e9857f48000,1071349182,2,2,87040,1110
177548816119,rcv,0xffff8e9848f83780,1174535386,7,7,2480640,0
177549046283,rcv,0xffff8e9848f83780,1404699643,7,7,2480640,1207
177549308937,rcv,0xffff8e984aedef00,1667353001,4,4,87040,0
177550423338,rcv,0xffff8e9845289280,2781754217,7,7,46080,0
177550453519,rcv,0xffff8e9845289280,2811935279,7,7,46080,988
177551182686,rcv,0xffff8e9857f4e5c0,3541102815,2,2,87040,1401
177551464712,rcv,0xffff8e9848f83780,3823129064,7,7,2480640,1115
177551522144,rcv,0xffff8e9848f83780,3880561166,7,7,2480640,0
177551559188,rcv,0xffff8e9848f83780,3917604735,7,7,2480640,2262
177551559274,rcv,0xffff8e9848f83780,3917688961,4,4,2480640,1147
177551586320,rcv,0xffff8e9848f83780,3944736736,4,4,2480640,0
177551586798,rcv,0xffff8e9852888000,3945212825,10,2147483647,46080,997
177551588274,rcv,0xffff8e9848f83780,3946690689,4,4,2480640,0
177551588759,rcv,0xffff8e9852888000,3947174351,10,2147483647,46080,0
177551661620,rcv,0xffff8e9848f83780,4020037043,4,4,2480640,2230
177551970127,rcv,0xffff8e9848f83780,4328544403,4,4,2480640,1115
177552074939,rcv,0xffff8e9848f83780,4433355412,4,4,2480640,0
177552075722,rcv,0xffff8e9852888000,4434137336,10,2147483647,46080,2039
177552108260,rcv,0xffff8e9848f83780,4466676963,4,4,2480640,1227
177552150278,rcv,0xffff8e9848f83780,4508694647,2,2,2480640,0
177552150776,rcv,0xffff8e9852888000,4509191272,10,2147483647,46080,1075
177552150854,rcv,0xffff8e9852888000,4509268827,10,2147483647,46080,0
177552150905,rcv,0xffff8e984aeddc80,4509319853,10,2147483647,46080,0
177552184966,rcv,0xffff8e9848f83780,4543382153,2,2,2480640,2230
177552185287,rcv,0xffff8e9848f83780,4543701949,2,2,2480640,1115
177552211724,rcv,0xffff8e9848f83780,4570140544,3,2,2480640,1115
177552247259,rcv,0xffff8e9848f83780,4605674303,3,2,2480640,3377
177552266464,rcv,0xffff8e9848f83780,4624879334,3,2,2480640,1147
177552266608,rcv,0xffff8e98501fc0c0,4625022138,10,2147483647,46080,997
177552268106,rcv,0xffff8e9848f83780,4626521236,3,2,2480640,0
177552268257,rcv,0xffff8e9852888000,4626671730,10,2147483647,46080,0
177552268274,rcv,0xffff8e9852888000,4626688434,10,2147483647,46080,0
177552268297,rcv,0xffff8e984aeddc80,4626711014,10,2147483647,46080,0
177552303921,rcv,0xffff8e9848f83780,4662337201,3,2,2480640,18015
177552322030,rcv,0xffff8e9848f83780,4680447250,3,2,2480640,14964
177552322722,rcv,0xffff8e98501fc0c0,4681138575,10,2147483647,46080,49968
177552344267,rcv,0xffff8e9848f83780,4702683340,3,2,2480640,17706
177552365427,rcv,0xffff8e9848f83780,4723843356,3,2,2480640,14810
177552366007,rcv,0xffff8e98501fc0c0,4724422380,11,2147483647,46080,49700
177552366543,rcv,0xffff8e9848f83780,4724958702,3,2,2480640,14733
177552366827,rcv,0xffff8e98501fc0c0,4725242107,12,2147483647,46080,48472
177552368122,rcv,0xffff8e9848f83780,4726536938,3,2,2480640,18846
177552368288,rcv,0xffff8e98501fc0c0,4726702680,13,2147483647,46080,48204
177552370211,rcv,0xffff8e9848f83780,4728626372,3,2,2480640,21588
177552370397,rcv,0xffff8e98501fc0c0,4728811854,14,2147483647,46080,46976
177552386059,rcv,0xffff8e9848f83780,4744475910,3,2,2480640,24330
177552427054,rcv,0xffff8e9848f83780,4785470544,4,2,2480640,21434
177552427296,rcv,0xffff8e9848f83780,4785711027,4,2,2480640,19986
177552427666,rcv,0xffff8e98501fc0c0,4786081441,15,2147483647,46080,46708
177552428650,rcv,0xffff8e9848f83780,4787065487,4,2,2480640,19832
177552428911,rcv,0xffff8e98501fc0c0,4787325836,16,2147483647,46080,45480
177552429004,rcv,0xffff8e98501fc0c0,4787418361,17,2147483647,46080,45212
177552442059,rcv,0xffff8e9848f83780,4800475688,4,2,2480640,23868
177552442572,rcv,0xffff8e98501fc0c0,4800987024,18,2147483647,46080,43984
177552442704,rcv,0xffff8e98501fc0c0,4801119087,19,2147483647,46080,43716
177552443366,rcv,0xffff8e9848f83780,4801780918,4,2,2480640,29352
177552443687,rcv,0xffff8e98501fc0c0,4802101748,20,2147483647,46080,42488
