Attaching 2 probes...
timestamp,event,sock,time_us,snd_cwnd,snd_ssthresh,sk_sndbuf,sk_wmem_queued
177415229552,rcv,0xffff8e9857f48000,1017493658,2,2,87040,0
177415276553,rcv,0xffff8e9857f48000,1064494770,2,2,87040,991
177415350551,rcv,0xffff8e9848f83780,1138492934,3,2,2480640,1115
177415554570,rcv,0xffff8e9848f83780,1342511463,2,2,2480640,0
177415619609,rcv,0xffff8e9848f83780,1407550390,2,2,2480640,2262
177415620009,rcv,0xffff8e9848f83780,1407948596,2,2,2480640,1147
177415673513,rcv,0xffff8e9848f83780,1461454294,3,2,2480640,0
177415673982,rcv,0xffff8e984d031bc0,1461921866,10,2147483647,46080,997
177415674002,rcv,0xffff8e9848f83780,1461942065,3,2,2480640,0
177415674393,rcv,0xffff8e984d031bc0,1462333026,10,2147483647,46080,0
177415732950,rcv,0xffff8e9848f83780,1520891319,3,2,2480640,2230
177415733510,rcv,0xffff8e9848f83780,1521451323,3,2,2480640,1115
177415897510,rcv,0xffff8e9848f83780,1685451634,3,2,2480640,0
177415897936,rcv,0xffff8e984d031bc0,1685875297,10,2147483647,46080,2039
177415955620,rcv,0xffff8e9848f83780,1743561523,3,2,2480640,1227
177416085877,rcv,0xffff8e9848f83780,1873819038,3,2,2480640,0
177416086660,rcv,0xffff8e984d031bc0,1874601022,10,2147483647,46080,1075
177416086743,rcv,0xffff8e984d031bc0,1874681950,10,2147483647,46080,0
177416086783,rcv,0xffff8e984aeddc80,1874722115,10,2147483647,46080,0
177416241257,rcv,0xffff8e9848f83780,2029198296,3,2,2480640,3345
177416241742,rcv,0xffff8e9848f83780,2029682806,3,2,2480640,2230
177416241848,rcv,0xffff8e9848f83780,2029787072,3,2,2480640,1115
177416290815,rcv,0xffff8e9848f83780,2078754242,3,2,2480640,3377
177416329682,rcv,0xffff8e9848f83780,2117621622,3,2,2480640,1147
177416375015,rcv,0xffff8e9848f83780,2162954399,3,2,2480640,0
177416375172,rcv,0xffff8e984ae52e40,2163111008,10,2147483647,46080,997
177416375192,rcv,0xffff8e984d031bc0,2163130915,10,2147483647,46080,0
177416375208,rcv,0xffff8e984d031bc0,2163147048,10,2147483647,46080,0
177416377007,rcv,0xffff8e9848f83780,2164945636,3,2,2480640,17860
177416377097,rcv,0xffff8e984aeddc80,2165036052,10,2147483647,46080,0
177416419439,rcv,0xffff8e9848f83780,2207379603,3,2,2480640,18015
177416419988,rcv,0xffff8e9848f83780,2207927857,3,2,2480640,17860
177416421378,rcv,0xffff8e9848f83780,2209319786,3,2,2480640,16412
177416438683,rcv,0xffff8e9848f83780,2226624126,3,2,2480640,14964
177416439350,rcv,0xffff8e984ae52e40,2227291371,10,2147483647,46080,49968
177416585554,rcv,0xffff8e9848f83780,2373495364,3,2,2480640,18666
177416586401,rcv,0xffff8e9848f83780,2374340870,4,2,2480640,14810
177416586479,rcv,0xffff8e9848f83780,2374418252,4,2,2480640,13362
177416586822,rcv,0xffff8e984ae52e40,2374761998,11,2147483647,46080,49700
177416586911,rcv,0xffff8e984ae52e40,2374850168,12,2147483647,46080,48472
177416586956,rcv,0xffff8e984ae52e40,2374894751,13,2147483647,46080,48204
177416587000,rcv,0xffff8e984ae52e40,2374939526,14,2147483647,46080,46976
177416662394,rcv,0xffff8e9848f83780,2450335670,4,2,2480640,24330
177416662663,rcv,0xffff8e9848f83780,2450602622,4,2,2480640,21434
177416683775,rcv,0xffff8e9848f83780,2471716800,4,2,2480640,17578
177416684531,rcv,0xffff8e984ae52e40,2472471032,15,2147483647,46080,46708
177416684729,rcv,0xffff8e984ae52e40,2472668086,16,2147483647,46080,45480
177416685458,rcv,0xffff8e9848f83780,2473398451,4,2,2480640,23062
177416685880,rcv,0xffff8e984ae52e40,2473819793,17,2147483647,46080,45212
177416685986,rcv,0xffff8e984ae52e40,2473925710,18,2147483647,46080,43984
177416734482,rcv,0xffff8e9848f83780,2522423495,4,2,2480640,28546
177416734903,rcv,0xffff8e9848f83780,2522843352,5,2,2480640,25650
177416753180,rcv,0xffff8e9848f83780,2541121543,6,2,2480640,23714
177416753547,rcv,0xffff8e984ae52e40,2541486193,19,2147483647,46080,43716
177416754730,rcv,0xffff8e9848f83780,2542669626,6,2,2480640,26456
177416755028,rcv,0xffff8e984ae52e40,2542967228,20,2147483647,46080,42488
177416755140,rcv,0xffff8e984ae52e40,2543079597,21,2147483647,46080,42220
177416755199,rcv,0xffff8e984ae52e40,2543138460,22,2147483647,46080,40992
177416929595,rcv,0xffff8e9848f83780,2717536964,6,2,2480640,35642
177416929708,rcv,0xffff8e9848f83780,2717647032,6,2,2480640,32746
177416930406,rcv,0xffff8e9848f83780,2718345677,6,2,2480640,29850
177416930469,rcv,0xffff8e9848f83780,2718407799,6,2,2480640,26954
177416930513,rcv,0xffff8e9848f83780,2718452232,6,2,2480640,26954
177416930538,rcv,0xffff8e9848f83780,2718477059,6,2,2480640,26954
177416930868,rcv,0xffff8e984ae52e40,2718808126,23,2147483647,46080,39764
177416930929,rcv,0xffff8e984ae52e40,2718868621,24,2147483647,110592,37576
177416930957,rcv,0xffff8e984ae52e40,2718896045,25,2147483647,110592,36348
177416930981,rcv,0xffff8e984ae52e40,2718919710,26,2147483647,110592,34160
177416931004,rcv,0xffff8e984ae52e40,2718943333,28,2147483647,110592,30744
177417020142,rcv,0xffff8e9848f83780,2808083678,6,2,2480640,43406
177417021912,rcv,0xffff8e9848f83780,2809853276,6,2,2480640,39550
177417092299,rcv,0xffff8e9848f83780,2880241486,6,2,2480640,36654
177417092459,rcv,0xffff8e9848f83780,2880397848,4,4,2480640,38574
177417114073,rcv,0xffff8e9848f83780,2902014714,4,4,2480640,37614
177417114676,rcv,0xffff8e984ae52e40,2902615871,29,2147483647,110592,118244
177417274469,rcv,0xffff8e9848f83780,3062410018,4,4,2480640,38985
177417274618,rcv,0xffff8e9848f83780,3062557127,2,4,2480640,37537
177417274704,rcv,0xffff8e9848f83780,3062642996,3,4,2480640,32233
177417275179,rcv,0xffff8e984ae52e40,3063118608,29,29,110592,117016
177417275575,rcv,0xffff8e984ae52e40,3063516562,29,29,110592,114560
177417275712,rcv,0xffff8e984ae52e40,3063651122,29,29,110592,112104
177417275746,rcv,0xffff8e984ae52e40,3063684632,29,29,110592,109648
177417351457,rcv,0xffff8e9848f83780,3139398072,3,4,2480640,43201
177417433280,rcv,0xffff8e9848f83780,3221222509,4,4,2480640,37897
177417433819,rcv,0xffff8e984aeddc80,3221759237,10,2147483647,46080,0
177417436693,rcv,0xffff8e9848f83780,3224632415,4,4,2480640,38281
177417455891,rcv,0xffff8e9848f83780,3243831239,4,4,2480640,38281
177417456004,rcv,0xffff8e9848f83780,3243943415,5,4,2480640,40201
177417456070,rcv,0xffff8e9848f83780,3244009122,5,4,2480640,39241
177417456524,rcv,0xffff8e984ae52e40,3244463674,29,29,110592,107192
177417457157,rcv,0xffff8e9857f4e5c0,3245096593,4,4,87040,1320
177417457369,rcv,0xffff8e9857f4e5c0,3245308127,4,4,87040,0
177417617551,rcv,0xffff8e9848f83780,3405493075,3,3,2480640,42943
177417617682,rcv,0xffff8e9848f83780,3405620985,3,3,2480640,42943
177417617848,rcv,0xffff8e9848f83780,3405787577,3,3,2480640,42943
177417618072,rcv,0xffff8e984ae52e40,3406011329,29,29,110592,104736
177417618251,rcv,0xffff8e9848f83780,3406190814,3,3,2480640,42943
177417618340,rcv,0xffff8e9848f83780,3406279123,3,3,2480640,41495
177417618677,rcv,0xffff8e984ae52e40,3406618370,29,29,110592,104468
177417745321,rcv,0xffff8e9848f83780,3533262608,3,3,2480640,42866
177417746734,rcv,0xffff8e9848f83780,3534675428,3,3,2480640,34666
177417769028,rcv,0xffff8e9848f83780,3556969179,4,3,2480640,31770
177417769577,rcv,0xffff8e984ae52e40,3557516893,29,29,133632,102280
177417769682,rcv,0xffff8e984ae52e40,3557621289,29,29,133632,99824
177417769753,rcv,0xffff8e984ae52e40,3557691992,29,29,133632,97100
177417814597,rcv,0xffff8e9848f83780,3602538177,4,3,2480640,39996
177417815183,rcv,0xffff8e984ae52e40,3603123157,29,29,133632,94912
177417963368,rcv,0xffff8e9848f83780,3751309470,4,3,2480640,42738
177417963476,rcv,0xffff8e9848f83780,3751415611,4,3,2480640,39842
177417964012,rcv,0xffff8e9848f83780,3751952634,4,3,2480640,35986
177417964064,rcv,0xffff8e9848f83780,3752003105,4,3,2480640,35986
177417964072,rcv,0xffff8e9848f83780,3752011233,4,3,2480640,35986
177417964095,rcv,0xffff8e9848f83780,3752033745,4,3,2480640,35986
177417964595,rcv,0xffff8e984ae52e40,3752535538,30,29,138240,94644
177417964700,rcv,0xffff8e984ae52e40,3752639146,30,29,138240,93416
177417964729,rcv,0xffff8e984ae52e40,3752667925,30,29,138240,90960
177417964761,rcv,0xffff8e984aeddc80,3752700450,10,2147483647,46080,0
177418065281,rcv,0xffff8e9848f83780,3853222424,4,3,2480640,44367
177418068764,rcv,0xffff8e9848f83780,3856703306,4,3,2480640,41471
177418142864,rcv,0xffff8e9848f83780,3930805252,4,3,2480640,38575
177418142996,rcv,0xffff8e9848f83780,3930935515,4,3,2480640,35679
177418150463,rcv,0xffff8e9848f83780,3938404038,4,3,2480640,32783
177418151069,rcv,0xffff8e984ae52e40,3939010521,30,29,138240,156736
177418152279,rcv,0xffff8e9848f83780,3940219397,4,3,2480640,34154
177418152636,rcv,0xffff8e984ae52e40,3940575290,30,29,138240,153320
177418160284,rcv,0xffff8e9848f83780,3948224641,4,3,2480640,36896
177418160772,rcv,0xffff8e984ae52e40,3948712043,30,29,138240,150864
177418164760,rcv,0xffff8e9848f83780,3952699974,4,3,2480640,39638
177418165001,rcv,0xffff8e984ae52e40,3952941039,30,29,138240,148408
177418309220,rcv,0xffff8e9848f83780,4097161755,4,3,2480640,42380
177418309374,rcv,0xffff8e9848f83780,4097313409,5,3,2480640,39484
177418309425,rcv,0xffff8e9848f83780,4097364605,6,3,2480640,37548
177418309452,rcv,0xffff8e9848f83780,4097390894,6,3,2480640,37548
177418309465,rcv,0xffff8e9848f83780,4097404248,6,3,2480640,37548
177418309941,rcv,0xffff8e984ae52e40,4097880565,30,29,138240,145952
177418310049,rcv,0xffff8e984ae52e40,4097988748,30,29,138240,144724
177418310165,rcv,0xffff8e984ae52e40,4098104317,30,29,138240,142268
177418361152,rcv,0xffff8e9848f83780,4149093264,6,3,2480640,43032
177418361302,rcv,0xffff8e9848f83780,4149241152,6,3,2480640,40136
177418361328,rcv,0xffff8e9848f83780,4149267105,6,3,2480640,37240
177418396820,rcv,0xffff8e9848f83780,4184761905,6,3,2480640,34344
177418396903,rcv,0xffff8e9848f83780,4184842210,6,3,2480640,34344
177418397483,rcv,0xffff8e984aeddc80,4185422529,10,2147483647,46080,0
177418397598,rcv,0xffff8e984ae52e40,4185537306,30,29,138240,141040
177418415259,rcv,0xffff8e9848f83780,4203200677,6,3,2480640,37241
177418441066,rcv,0xffff8e9848f83780,4229007973,6,3,2480640,34345
