Attaching 2 probes...
timestamp,event,sock,time_us,snd_cwnd,snd_ssthresh,sk_sndbuf,sk_wmem_queued
177851625192,rcv,0xffff8e9848f83780,607728953,10,40,2480640,1115
177851745989,rcv,0xffff8e9848f83780,728526990,10,40,2480640,0
177851779975,rcv,0xffff8e9848f83780,762513615,10,40,2480640,2262
177851780185,rcv,0xffff8e9848f83780,762720653,10,40,2480640,1147
177851788070,rcv,0xffff8e984aedef00,770608307,4,4,87040,0
177851798532,rcv,0xffff8e9848f83780,781069833,10,40,2480640,0
177851798982,rcv,0xffff8e9853021bc0,781518382,10,2147483647,46080,997
177851799344,rcv,0xffff8e9848f83780,781881212,10,40,2480640,0
177851799814,rcv,0xffff8e9853021bc0,782350797,10,2147483647,46080,0
177851833074,rcv,0xffff8e9848f83780,815611840,10,40,2480640,2230
177852134033,rcv,0xffff8e9857f4e5c0,1116570686,2,2,87040,1442
177852137289,rcv,0xffff8e9848f83780,1119827220,10,40,2480640,0
177852137790,rcv,0xffff8e9853021bc0,1120326619,10,2147483647,46080,2024
177852193868,rcv,0xffff8e9848f83780,1176406625,10,40,2480640,1211
177852194582,rcv,0xffff8e9853021bc0,1177120102,10,2147483647,46080,1060
177852194672,rcv,0xffff8e9853021bc0,1177207626,10,2147483647,46080,0
177852194712,rcv,0xffff8e984aeddc80,1177247825,10,2147483647,46080,0
177852229253,rcv,0xffff8e9848f83780,1211791030,10,40,2480640,2230
177852310048,rcv,0xffff8e9848f83780,1292585582,10,40,2480640,1115
177852323063,rcv,0xffff8e9857f4e5c0,1305601022,2,2,87040,0
177852484008,rcv,0xffff8e9848f83780,1466545947,10,40,2480640,0
177852517308,rcv,0xffff8e9848f83780,1499844626,10,40,2480640,2262
177852517833,rcv,0xffff8e9848f83780,1500369223,10,40,2480640,1147
177852559076,rcv,0xffff8e9848f83780,1541615835,10,40,2480640,0
177852559351,rcv,0xffff8e98528e9280,1541887265,10,2147483647,46080,997
177852559370,rcv,0xffff8e9853021bc0,1541905404,10,2147483647,46080,0
177852559381,rcv,0xffff8e9853021bc0,1541916726,10,2147483647,46080,0
177852580208,rcv,0xffff8e9848f83780,1562744779,10,40,2480640,19780
177852580416,rcv,0xffff8e984aeddc80,1562952284,10,2147483647,46080,0
177852593491,rcv,0xffff8e9848f83780,1576028439,10,40,2480640,19935
177852593904,rcv,0xffff8e9848f83780,1576441252,11,40,2480640,18820
177852593934,rcv,0xffff8e9848f83780,1576469922,12,40,2480640,17372
177852593957,rcv,0xffff8e9848f83780,1576493307,13,40,2480640,16334
177852594997,rcv,0xffff8e9848f83780,1577533659,14,40,2480640,14886
177852595346,rcv,0xffff8e9848f83780,1577882859,15,40,2480640,13438
177852595382,rcv,0xffff8e9848f83780,1577918329,16,40,2480640,11030
177852595959,rcv,0xffff8e9848f83780,1578496569,17,40,2480640,9582
177852596002,rcv,0xffff8e9848f83780,1578537479,19,40,2480640,5726
177852614395,rcv,0xffff8e9848f83780,1596933018,20,40,2480640,3318
177852614850,rcv,0xffff8e98528e9280,1597386529,10,2147483647,46080,49968
177852614967,rcv,0xffff8e98528e9280,1597502652,11,2147483647,46080,49700
177852615036,rcv,0xffff8e98528e9280,1597571883,12,2147483647,46080,48472
177852626114,rcv,0xffff8e9848f83780,1608651753,20,40,2480640,14424
177852633010,rcv,0xffff8e9848f83780,1615547747,22,40,2480640,11106
177852633629,rcv,0xffff8e98528e9280,1616167714,13,2147483647,46080,48204
177852633747,rcv,0xffff8e98528e9280,1616282890,14,2147483647,46080,46976
177852633780,rcv,0xffff8e98528e9280,1616316261,15,2147483647,46080,46708
177852633819,rcv,0xffff8e98528e9280,1616355229,16,2147483647,46080,45480
177852633850,rcv,0xffff8e98528e9280,1616385453,17,2147483647,46080,45212
177852644789,rcv,0xffff8e9848f83780,1627326769,22,40,2480640,30576
177852645246,rcv,0xffff8e98528e9280,1627782802,18,2147483647,46080,43984
177852645992,rcv,0xffff8e9848f83780,1628528672,22,40,2480640,35238
177852646270,rcv,0xffff8e98528e9280,1628806157,19,2147483647,46080,43716
177852648371,rcv,0xffff8e9848f83780,1630908451,22,40,2480640,39900
177852648775,rcv,0xffff8e9848f83780,1631312830,24,40,2480640,36121
177852649336,rcv,0xffff8e9848f83780,1631873158,26,40,2480640,32419
177852666960,rcv,0xffff8e9848f83780,1649497664,28,40,2480640,28794
177852667021,rcv,0xffff8e9848f83780,1649556865,30,40,2480640,25015
