Attaching 3 probes...
PID   COMM       LADDR           LPORT RADDR           RPORT TX_KB RX_KB MS
0     swapper/6  ::1             8080  ::1             42814      0     0 6116
0     swapper/6  ::1             8080  ::1             42804      0     1 6116
0     swapper/6  ::1             8080  ::1             42824      2     3 6963
409978 Chrome_Chi ::1             42804 ::1             8080       1     0 11396
409978 Chrome_Chi ::1             42814 ::1             8080       0     0 11396
409978 Chrome_Chi ::1             42824 ::1             8080       3     2 11321
409978 Chrome_Chi 169.254.83.157  51004 169.254.193.8   3000       0     0 11279
409978 Chrome_Chi 169.254.83.157  51018 169.254.193.8   3000       0     0 11267
0     swapper/6  ::1             8080  ::1             40384      1     3 12374
409978 Chrome_Chi ::1             40384 ::1             8080       3     1 100780





