Linux 6.8.0-87-generic (Matheusm-Vivobook) 	26/11/2025 	_x86_64_	(12 CPU)

19:54:17     active/s passive/s    iseg/s    oseg/s
19:54:18         0,00      0,00      0,00      0,00
19:54:19         0,00      0,00      0,00      0,00
19:54:20         8,00      3,00    372,00    536,00
19:54:21         0,00      0,00    609,00   1087,00
19:54:22         0,00      0,00    158,00    272,00
19:54:23         0,00      0,00    424,00    759,00
19:54:24         0,00      0,00    750,00   1412,00
19:54:25         0,00      0,00    547,00   1020,00
19:54:26         0,00      0,00    945,00   1739,00
19:54:27         0,00      0,00    325,00    536,00
19:54:28         0,00      0,00    451,00    776,00
19:54:29         0,00      0,00    743,00   1341,00
19:54:30         0,00      0,00    616,00   1114,00
19:54:31         0,00      0,00    414,00    754,00
19:54:32         0,00      0,00      0,00      0,00
19:54:33         0,00      0,00      0,00      0,00
19:54:34         0,00      0,00      0,00      0,00

Average:         0,47      0,18    373,76    667,41
