Linux 6.8.0-87-generic (Matheusm-Vivobook) 	26/11/2025 	_x86_64_	(12 CPU)

19:19:03     active/s passive/s    iseg/s    oseg/s
19:19:04         0,00      0,00      0,00      0,00
19:19:05         0,00      0,00      0,00      0,00
19:19:06         0,00      0,00      0,00      0,00
19:19:07         7,00      3,00    958,00   1618,00
19:19:08         0,00      0,00   1036,00   1837,00
19:19:09         0,00      0,00   1735,00   3380,00
19:19:10         0,00      0,00   1712,87   3305,94
19:19:11         0,00      0,00   1992,00   3801,00
19:19:12         0,00      0,00   1847,00   3521,00
19:19:13         0,00      0,00   1704,00   3310,00
19:19:14         0,00      0,00   1446,00   2778,00
19:19:15         0,00      0,00   1577,00   3042,00
19:19:16         0,00      0,00    790,00   1473,00
19:19:17         0,00      0,00   1370,00   2413,00
19:19:18         0,00      0,00      0,00      0,00
19:19:19         0,00      0,00      0,00      0,00
19:19:20         0,00      0,00      0,00      0,00
19:19:21         0,00      0,00      0,00      0,00
19:19:22         0,00      0,00      0,00      0,00


Average:         0,37      0,16    851,39   1605,05
